Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2013-14,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.07,11
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.44,164
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.44,544
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian Am & Asian Diasp St,Bachelor of Arts,3.38,12
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.30,19
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.35,38
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.35,30
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.46,55
2013-14,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.43,154
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.54,8
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.29,134
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.43,32
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.36,6
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.60,57
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.15,271
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.43,62
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.36,427
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.51,336
2013-14,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.26,213
2013-14,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.06,102
2013-14,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.21,164
2013-14,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.33,198
2013-14,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.37,8
2013-14,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.33,103
2013-14,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.51,90
2013-14,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.45,52
2013-14,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.39,13
2013-14,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.34,93
2013-14,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.48,62
2013-14,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.37,43
2013-14,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.28,45
2013-14,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.42,19
2013-14,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.34,17
2013-14,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.23,29
2013-14,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.52,332
2012-13,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Bachelor of Science,3.46,9
2012-13,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.20,80
2012-13,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.18,63
2012-13,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.34,47
2012-13,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.37,110
2012-13,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.27,102
2012-13,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.27,330
2012-13,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major,Bachelor of Science,3.38,9
2012-13,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,Bachelor of Science,3.30,10
2012-13,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,Bachelor of Science,3.60,6
2012-13,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.33,27
2012-13,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science,Bachelor of Science,3.17,7
2012-13,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.51,38
2012-13,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.11,18
2012-13,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.25,164
2012-13,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.34,13
2012-13,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.24,148
2012-13,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.34,27
2012-13,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.54,10
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,3.33,6
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.21,165
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,3.04,44
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.21,150
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.67,15
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.45,125
2012-13,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.31,136
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.61,68
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.50,16
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.84,6
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.59,31
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.31,12
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.51,28
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.49,403
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.36,73
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.54,26
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.62,25
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.46,54
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.52,8
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.50,44
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.52,13
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.65,8
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.30,118
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.46,103
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Celtic Studies,Bachelor of Arts,3.57,5
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,Bachelor of Arts,3.46,5
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.37,18
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.42,11
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.50,11
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.37,32
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,Bachelor of Arts,3.41,14
2012-13,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.54,34
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.27,448
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.37,44
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.35,132
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.38,45
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.42,101
2012-13,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.45,97
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.47,23
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,3.07,14
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.24,9
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.10,9
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,2.88,7
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.29,150
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.36,91
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.38,98
2012-13,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.26,151
2012-13,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,2.97,9
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.44,163
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.46,490
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian Am & Asian Diasp St,Bachelor of Arts,3.34,10
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,Bachelor of Arts,2.99,8
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.33,17
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.36,45
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,Bachelor of Arts,3.14,7
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.38,32
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.47,60
2012-13,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.52,184
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.38,10
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.26,98
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.38,41
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.56,6
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.48,10
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.55,85
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.39,7
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.14,267
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.46,69
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.35,467
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.54,386
2012-13,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.32,274
2012-13,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.16,118
2012-13,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.17,140
2012-13,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Environmental Sciences,Bachelor of Arts,3.29,5
2012-13,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.38,243
2012-13,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.56,17
2012-13,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.39,104
2012-13,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.35,89
2012-13,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.51,60
2012-13,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.23,15
2012-13,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.34,76
2012-13,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.45,69
2012-13,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.30,38
2012-13,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.34,41
2012-13,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.41,22
2012-13,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.31,11
2012-13,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.29,38
2012-13,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.51,340
2011-12,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Bachelor of Science,3.27,7
2011-12,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.23,89
2011-12,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.31,65
2011-12,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.29,54
2011-12,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.41,110
2011-12,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.23,110
2011-12,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.28,311
2011-12,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,Bachelor of Science,3.43,7
2011-12,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,Bachelor of Science,3.07,9
2011-12,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.52,14
2011-12,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.41,52
2011-12,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.33,21
2011-12,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.25,185
2011-12,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.11,9
2011-12,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.22,165
2011-12,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.45,27
2011-12,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.45,7
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,3.09,6
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.14,115
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,3.03,105
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.19,136
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.62,9
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.41,153
2011-12,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.37,123
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.51,81
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.51,21
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.77,6
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.50,27
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.43,28
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.29,37
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.47,321
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.39,65
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.54,25
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.80,11
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.49,71
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.61,9
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.38,49
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.40,13
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.48,6
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.30,79
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.46,113
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,Bachelor of Arts,3.56,17
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.43,18
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.38,9
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.30,8
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.32,28
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,Bachelor of Arts,3.44,6
2011-12,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.47,43
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.27,413
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.48,66
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.40,146
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.35,32
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.40,88
2011-12,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.51,94
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.19,24
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,2.89,10
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.35,11
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.44,8
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.24,11
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.29,133
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.36,92
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.45,79
2011-12,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.26,100
2011-12,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.01,15
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.43,159
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.46,463
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,Bachelor of Arts,3.25,15
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.23,17
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.39,60
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,Bachelor of Arts,3.15,5
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.48,37
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.31,53
2011-12,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.45,221
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.59,9
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,Bachelor of Arts,3.65,8
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.27,81
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.30,40
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.15,15
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.56,9
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.57,73
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.13,27
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.24,229
